surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	CH2OHCHOHCH2OH  -24.385	None	[]	[]	Input File Tutorial.
None	gas	CH2OHCHOHCOOH  -22.689	None	[]	[]	Input File Tutorial.
None	gas	H2O  -7.614	None	[]	[]	Input File Tutorial.
None	gas	O2  -0.528	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCH2O  -26.972	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCH2O-CH2OHCHOHCHO  21.365	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCH2OH	-33.868	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCH2OH-CH2OHCHOHCH2O	9.99	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCHO	-27.723	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCHO-CH2OHCHOHCHOOH	18.022	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCHOOH	-29.621	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCHOOH-CH2OHCHOHCOOH	23.078	None	[]	[]	Input File Tutorial.
ceo2	111	CH2OHCHOHCOOH	-26.995	None	[]	[]	Input File Tutorial.
ceo2	111	H	-10.495	None	[]	[]	Input File Tutorial.
ceo2	111	H2O	-7.217	None	[]	[]	Input File Tutorial.
ceo2	111	O	-2.11	None	[]	[]	Input File Tutorial.
ceo2	111	O2	-2.74	None	[]	[]	Input File Tutorial.
ceo2	111	O2-2OH	76.105	None	[]	[]	Input File Tutorial.
ceo2	111	OH	-5.116	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCH2O	-28.607	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCH2O-CH2OHCHOHCHO	19.779	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCH2OH	-30.402	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCH2OH-CH2OHCHOHCH2O	7.794	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCHO	-25.378	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCHO-CH2OHCHOHCHOOH	18.262	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCHOOH	-30.621	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCHOOH-CH2OHCHOHCOOH	23.361	None	[]	[]	Input File Tutorial.
cuo	111	CH2OHCHOHCOOH	-21.153	None	[]	[]	Input File Tutorial.
cuo	111	H	-9.396	None	[]	[]	Input File Tutorial.
cuo	111	H2O	-7.204	None	[]	[]	Input File Tutorial.
cuo	111	O	-2.718	None	[]	[]	Input File Tutorial.
cuo	111	O2	-2.719	None	[]	[]	Input File Tutorial.
cuo	111	O2-2OH	74.154	None	[]	[]	Input File Tutorial.
cuo	111	OH	-5.166	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCH2O	-19.548	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCH2O-CH2OHCHOHCHO	30.426	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCH2OH	-21.304	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCH2OH-CH2OHCHOHCH2O	16.505	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCHO	-14.525	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCHO-CH2OHCHOHCHOOH	25.528	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCHOOH	-22.038	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCHOOH-CH2OHCHOHCOOH	31.513	None	[]	[]	Input File Tutorial.
sio2	111	CH2OHCHOHCOOH	-18.974	None	[]	[]	Input File Tutorial.
sio2	111	H	0.426	None	[]	[]	Input File Tutorial.
sio2	111	H2O	-5.683	None	[]	[]	Input File Tutorial.
sio2	111	O	-2.373	None	[]	[]	Input File Tutorial.
sio2	111	O2	-2.085	None	[]	[]	Input File Tutorial.
sio2	111	O2-2OH	28.063	None	[]	[]	Input File Tutorial.
sio2	111	OH	-11.912	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCH2O	-26.694	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCH2O-CH2OHCHOHCHO	21.115	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCH2OH	-29.453	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCH2OH-CH2OHCHOHCH2O	9.488	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCHO	-24.194	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCHO-CH2OHCHOHCHOOH	18.79	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCHOOH	-29.138	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCHOOH-CH2OHCHOHCOOH	23.998	None	[]	[]	Input File Tutorial.
zno	111	CH2OHCHOHCOOH	-27.412	None	[]	[]	Input File Tutorial.
zno	111	H	-8.973	None	[]	[]	Input File Tutorial.
zno	111	H2O	-6.733	None	[]	[]	Input File Tutorial.
zno	111	O	-0.778	None	[]	[]	Input File Tutorial.
zno	111	O2	-1.149	None	[]	[]	Input File Tutorial.
zno	111	O2-2OH	77.35	None	[]	[]	Input File Tutorial.
zno	111	OH	-11.046	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCH2O	-29.135	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCH2O-CH2OHCHOHCHO	19.663	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCH2OH	-30.927	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCH2OH-CH2OHCHOHCH2O	7.215	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCHO	-26.466	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCHO-CH2OHCHOHCHOOH	16.277	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCHOOH	-31.419	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCHOOH-CH2OHCHOHCOOH	21.938	None	[]	[]	Input File Tutorial.
zro2	111	CH2OHCHOHCOOH	-29.584	None	[]	[]	Input File Tutorial.
zro2	111	H	-8.537	None	[]	[]	Input File Tutorial.
zro2	111	H2O	-5.01	None	[]	[]	Input File Tutorial.
zro2	111	O	-2.389	None	[]	[]	Input File Tutorial.
zro2	111	O2	-3.9	None	[]	[]	Input File Tutorial.
zro2	111	O2-2OH	75.381	None	[]	[]	Input File Tutorial.
zro2	111	OH	-13.836	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCH2O	-27.422	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCH2O-CH2OHCHOHCHO	21.55	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCH2OH	-28.128	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCH2OH-CH2OHCHOHCH2O	9.699	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCHO	-24.307	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCHO-CH2OHCHOHCHOOH	18.382	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCHOOH	-29.918	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCHOOH-CH2OHCHOHCOOH	22.236	None	[]	[]	Input File Tutorial.
tio2	111	CH2OHCHOHCOOH	-28.091	None	[]	[]	Input File Tutorial.
tio2	111	H	-9.467	None	[]	[]	Input File Tutorial.
tio2	111	H2O	-4.922	None	[]	[]	Input File Tutorial.
tio2	111	O	-1.505	None	[]	[]	Input File Tutorial.
tio2	111	O2	-1.409	None	[]	[]	Input File Tutorial.
tio2	111	O2-2OH	76.837	None	[]	[]	Input File Tutorial.
tio2	111	OH	-11.254	None	[]	[]	Input File Tutorial.
