surface_name,site_name,species_name,formation_energy,frequencies,reference
,gas,H2O2,-7.162,,Input File Tutorial.
,gas,C6H12,-26.031,,Input File Tutorial.
,gas,C6H12O,-27.668,,Input File Tutorial.
,gas,H2O,-7.614,,Input File Tutorial.
ticr,111,H2O2,-7.287,,Input File Tutorial.
ticr,111,Ha,-1.966,,Input File Tutorial.
ticr,111,Hb,-1.289,,Input File Tutorial.
ticr,111,OOH,-4.61,,Input File Tutorial.
ticr,111,C6H12,-26.2,,Input File Tutorial.
ticr,111,C6H12O,-27.869,,Input File Tutorial.
ticr,111,O,-1.103,,Input File Tutorial.
ticr,111,OH,-4.83,,Input File Tutorial.
ticr,111,H2O,-7.812,,Input File Tutorial.
ticr,111,OOH-C6H12,-30.679,,Input File Tutorial.
ticr,111,Hb-O,-6.57,,Input File Tutorial.
