surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	C6H12	-26.031	[]	Input File Tutorial.
None	gas	C6H12O	-27.668	[]	Input File Tutorial.
None	gas	H2O	-7.614	[]	Input File Tutorial.
None	gas	H2O2	-7.162	[]	Input File Tutorial.
tife	111	C6H12	-27.244	[]	Input File Tutorial.
tife	111	C6H12O	-28.955	[]	Input File Tutorial.
tife	111	H2O	-8.55	[]	Input File Tutorial.
tife	111	H2O2	-7.198	[]	Input File Tutorial.
tife	111	Ha	-2.958	[]	Input File Tutorial.
tife	111	Hb	-4.011	[]	Input File Tutorial.
tife	111	Hb-O	-4.23	[]	Input File Tutorial.
tife	111	O	-0.396	[]	Input File Tutorial.
tife	111	OH	-4.841	[]	Input File Tutorial.
tife	111	OOH	-3.858	[]	Input File Tutorial.
tife	111	OOH-C6H12	-31.44	[]	Input File Tutorial.
