surface_name,site_name,species_name,formation_energy,frequencies,reference
,gas,H2O2,-7.162,,Input File Tutorial.
,gas,C6H12,-26.031,,Input File Tutorial.
,gas,C6H12O,-27.668,,Input File Tutorial.
,gas,H2O,-7.614,,Input File Tutorial.
timo,111,H2O2,-7.404,,Input File Tutorial.
timo,111,Ha,-1.754,,Input File Tutorial.
timo,111,Hb,-1.182,,Input File Tutorial.
timo,111,OOH,-4.921,,Input File Tutorial.
timo,111,C6H12,-26.125,,Input File Tutorial.
timo,111,C6H12O,-28.099,,Input File Tutorial.
timo,111,O,-3.096,,Input File Tutorial.
timo,111,OH,-5.686,,Input File Tutorial.
timo,111,H2O,-7.833,,Input File Tutorial.
timo,111,OOH-C6H12,-31.446,,Input File Tutorial.
timo,111,Hb-O,-5.582,,Input File Tutorial.
