surface_name,site_name,species_name,formation_energy,frequencies,reference
,gas,H2O2,-7.162,,Input File Tutorial.
,gas,C6H12,-26.031,,Input File Tutorial.
,gas,C6H12O,-27.668,,Input File Tutorial.
,gas,H2O,-7.614,,Input File Tutorial.
tini,111,H2O2,-7.02,,Input File Tutorial.
tini,111,Ha,0.431,,Input File Tutorial.
tini,111,Hb,-4.475,,Input File Tutorial.
tini,111,OOH,-3.537,,Input File Tutorial.
tini,111,C6H12,-26.13,,Input File Tutorial.
tini,111,C6H12O,-27.959,,Input File Tutorial.
tini,111,O,1.922,,Input File Tutorial.
tini,111,OH,-2.54,,Input File Tutorial.
tini,111,H2O,-7.426,,Input File Tutorial.
tini,111,OOH-C6H12,-30.877,,Input File Tutorial.
tini,111,Hb-O,-2.629,,Input File Tutorial.
