surface_name,site_name,species_name,formation_energy,frequencies,reference
,gas,H2O2,-7.162,,Input File Tutorial.
,gas,C6H12,-26.031,,Input File Tutorial.
,gas,C6H12O,-27.668,,Input File Tutorial.
,gas,H2O,-7.614,,Input File Tutorial.
tiw,111,H2O2,-7.345,,Input File Tutorial.
tiw,111,Ha,-1.192,,Input File Tutorial.
tiw,111,Hb,-0.22,,Input File Tutorial.
tiw,111,OOH,-5.289,,Input File Tutorial.
tiw,111,C6H12,-30.109,,Input File Tutorial.
tiw,111,C6H12O,-28.113,,Input File Tutorial.
tiw,111,O,-3.317,,Input File Tutorial.
tiw,111,OH,-5.577,,Input File Tutorial.
tiw,111,H2O,-7.877,,Input File Tutorial.
tiw,111,OOH-C6H12,-33.226,,Input File Tutorial.
tiw,111,Hb-O,-3.909,,Input File Tutorial.
