surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	C6H12	-26.031	None	[]	[]	Input File Tutorial.
None	gas	C6H12O	-27.668	None	[]	[]	Input File Tutorial.
None	gas	H2O	-7.614	None	[]	[]	Input File Tutorial.
None	gas	H2O2	-7.162	None	[]	[]	Input File Tutorial.
tife	111	C6H12	-27.244	None	[]	[]	Input File Tutorial.
tife	111	C6H12O	-28.955	None	[]	[]	Input File Tutorial.
tife	111	H2O	-8.55	None	[]	[]	Input File Tutorial.
tife	111	H2O2	-7.198	None	[]	[]	Input File Tutorial.
tife	111	Ha	-2.958	None	[]	[]	Input File Tutorial.
tife	111	Hb	-4.011	None	[]	[]	Input File Tutorial.
tife	111	Hb-O	-4.23	None	[]	[]	Input File Tutorial.
tife	111	O	-0.396	None	[]	[]	Input File Tutorial.
tife	111	OH	-4.841	None	[]	[]	Input File Tutorial.
tife	111	OOH	-3.858	None	[]	[]	Input File Tutorial.
tife	111	OOH-C6H12	-31.44	None	[]	[]	Input File Tutorial.
timn	111	C6H12	-26.151	None	[]	[]	Input File Tutorial.
timn	111	C6H12O	-27.854	None	[]	[]	Input File Tutorial.
timn	111	H2O	-7.664	None	[]	[]	Input File Tutorial.
timn	111	H2O2	-7.171	None	[]	[]	Input File Tutorial.
timn	111	Ha	-2.208	None	[]	[]	Input File Tutorial.
timn	111	Hb	-2.262	None	[]	[]	Input File Tutorial.
timn	111	Hb-O	-2.8	None	[]	[]	Input File Tutorial.
timn	111	O	0.296	None	[]	[]	Input File Tutorial.
timn	111	OH	-4.169	None	[]	[]	Input File Tutorial.
timn	111	OOH	-4.105	None	[]	[]	Input File Tutorial.
timn	111	OOH-C6H12	-30.055	None	[]	[]	Input File Tutorial.

tihf	111	C6H12	-26.119	None	[]	[]	Input File Tutorial.
tihf	111	C6H12O	-27.953	None	[]	[]	Input File Tutorial.
tihf	111	H2O	-7.73	None	[]	[]	Input File Tutorial.
tihf	111	H2O2	-7.24	None	[]	[]	Input File Tutorial.
tihf	111	Ha	-0.89	None	[]	[]	Input File Tutorial.
tihf	111	Hb	0.484	None	[]	[]	Input File Tutorial.
tihf	111	Hb-O	-1.616	None	[]	[]	Input File Tutorial.
tihf	111	O	0.335	None	[]	[]	Input File Tutorial.
tihf	111	OH	-3.159	None	[]	[]	Input File Tutorial.
tihf	111	OOH	-3.806	None	[]	[]	Input File Tutorial.
tihf	111	OOH-C6H12	-31.411	None	[]	[]	Input File Tutorial.
tire	111	C6H12	-26.155	None	[]	[]	Input File Tutorial.
tire	111	C6H12O	-27.917	None	[]	[]	Input File Tutorial.
tire	111	H2O	-7.772	None	[]	[]	Input File Tutorial.
tire	111	H2O2	-7.28	None	[]	[]	Input File Tutorial.
tire	111	Ha	-1.564	None	[]	[]	Input File Tutorial.
tire	111	Hb	-0.883	None	[]	[]	Input File Tutorial.
tire	111	Hb-O	-5.626	None	[]	[]	Input File Tutorial.
tire	111	O	-2.455	None	[]	[]	Input File Tutorial.
tire	111	OH	-3.753	None	[]	[]	Input File Tutorial.
tire	111	OOH	-5.109	None	[]	[]	Input File Tutorial.
