surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	C3H6	0.039	None	[]	[]	Input File Tutorial.
None	gas	C3H6O	-0.0	None	[]	[]	Input File Tutorial.
None	gas	H2	0.0	None	[]	[]	Input File Tutorial.
None	gas	H2O	-0.0	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H5O	1.999	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H5O-H	0.2159 	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H6	1.309	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H6O	0.546	None	[]	[]	Input File Tutorial.
MoO3-100	111	CH3CHOCH-H	1.5829 	None	[]	[]	Input File Tutorial.
MoO3-100	111	H	-0.924	None	[]	[]	Input File Tutorial.
MoO3-100	111	H2	0.656	None	[]	[]	Input File Tutorial.
MoO3-100	111	H2O	-0.066	None	[]	[]	Input File Tutorial.
MoO3-100	111	O	2.228	None	[]	[]	Input File Tutorial.
MoO3-100	111	O-H2	1.6380 	None	[]	[]	Input File Tutorial.
MoO3-100	111	OH	1.165	None	[]	[]	Input File Tutorial.
MoO3-100	111	OH-H	0.1454 	None	[]	[]	Input File Tutorial.
MoO3-001	111	C3H5O	1.416	None	[]	[]	Input File Tutorial.
MoO3-001	111	C3H5O-H	0.2936	None	[]	[]	Input File Tutorial.
MoO3-001	111	C3H6	1.371	None	[]	[]	Input File Tutorial.
MoO3-001	111	C3H6O	0.681	None	[]	[]	Input File Tutorial.
MoO3-001	111	CH3CHOCH-H	1.2640 	None	[]	[]	Input File Tutorial.
MoO3-001	111	H	-0.301	None	[]	[]	Input File Tutorial.
MoO3-001	111	H2	-0.03	None	[]	[]	Input File Tutorial.
MoO3-001	111	H2O	0.256	None	[]	[]	Input File Tutorial.
MoO3-001	111	O	1.092	None	[]	[]	Input File Tutorial.
MoO3-001	111	O-H2	1.4943 	None	[]	[]	Input File Tutorial.
MoO3-001	111	OH	0.477	None	[]	[]	Input File Tutorial.
MoO3-001	111	OH-H	0.4734 	None	[]	[]	Input File Tutorial.
V2O5-001	111	C3H5O	1.057	None	[]	[]	Input File Tutorial.
V2O5-001	111	C3H5O-H	0.2238  	None	[]	[]	Input File Tutorial.
V2O5-001	111	C3H6	1.31	None	[]	[]	Input File Tutorial.
V2O5-001	111	C3H6O	0.374	None	[]	[]	Input File Tutorial.
V2O5-001	111	CH3CHOCH-H	1.4143 	None	[]	[]	Input File Tutorial.
V2O5-001	111	H	-0.219	None	[]	[]	Input File Tutorial.
V2O5-001	111	H2	0.598	None	[]	[]	Input File Tutorial.
V2O5-001	111	H2O	0.627	None	[]	[]	Input File Tutorial.
V2O5-001	111	O	2.1	None	[]	[]	Input File Tutorial.
V2O5-001	111	O-H2	1.1077 	None	[]	[]	Input File Tutorial.
V2O5-001	111	OH	0.675	None	[]	[]	Input File Tutorial.
V2O5-001	111	OH-H	0.0352 	None	[]	[]	Input File Tutorial.
V2O5-010	111	C3H5O	1.123	None	[]	[]	Input File Tutorial.
V2O5-010	111	C3H5O-H	0.6520 	None	[]	[]	Input File Tutorial.
V2O5-010	111	C3H6	1.188	None	[]	[]	Input File Tutorial.
V2O5-010	111	C3H6O	0.386	None	[]	[]	Input File Tutorial.
V2O5-010	111	CH3CHOCH-H	1.2238 	None	[]	[]	Input File Tutorial.
V2O5-010	111	H	-0.159	None	[]	[]	Input File Tutorial.
V2O5-010	111	H2	0.607	None	[]	[]	Input File Tutorial.
V2O5-010	111	H2O	0.118	None	[]	[]	Input File Tutorial.
V2O5-010	111	O	0.509	None	[]	[]	Input File Tutorial.
V2O5-010	111	O-H2	2.0721 	None	[]	[]	Input File Tutorial.
V2O5-010	111	OH	0.124	None	[]	[]	Input File Tutorial.
V2O5-010	111	OH-H	0.1346 	None	[]	[]	Input File Tutorial.
CuO-001	111	C3H5O	2.137	None	[]	[]	Input File Tutorial.
CuO-001	111	C3H5O-H	0.5214 	None	[]	[]	Input File Tutorial.
CuO-001	111	C3H6	1.241	None	[]	[]	Input File Tutorial.
CuO-001	111	C3H6O	0.641	None	[]	[]	Input File Tutorial.
CuO-001	111	CH3CHOCH-H	1.4453 	None	[]	[]	Input File Tutorial.
CuO-001	111	H	-0.358	None	[]	[]	Input File Tutorial.
CuO-001	111	H2	0.579	None	[]	[]	Input File Tutorial.
CuO-001	111	H2O	0.359	None	[]	[]	Input File Tutorial.
CuO-001	111	O	1.924	None	[]	[]	Input File Tutorial.
CuO-001	111	O-H2	1.7027 	None	[]	[]	Input File Tutorial.
CuO-001	111	OH	1.92	None	[]	[]	Input File Tutorial.
CuO-001	111	OH-H	0.4910 	None	[]	[]	Input File Tutorial.
CuO-111	111	C3H5O	0.777	None	[]	[]	Input File Tutorial.
CuO-111	111	C3H5O-H	0.5737 	None	[]	[]	Input File Tutorial.
CuO-111	111	C3H6	1.318	None	[]	[]	Input File Tutorial.
CuO-111	111	C3H6O	0.735	None	[]	[]	Input File Tutorial.
CuO-111	111	CH3CHOCH-H	1.5356 	None	[]	[]	Input File Tutorial.
CuO-111	111	H	-0.412	None	[]	[]	Input File Tutorial.
CuO-111	111	H2	0.539	None	[]	[]	Input File Tutorial.
CuO-111	111	H2O	0.295	None	[]	[]	Input File Tutorial.
CuO-111	111	O	0.189	None	[]	[]	Input File Tutorial.
CuO-111	111	O-H2	1.3572 	None	[]	[]	Input File Tutorial.
CuO-111	111	OH	-0.356	None	[]	[]	Input File Tutorial.
CuO-111	111	OH-H	0.8925 	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H5O	-0.277	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H5O-H	0.8183 	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H6	0.977	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H6O	0.751	None	[]	[]	Input File Tutorial.
TiO2-001	111	CH3CHOCH-H	1.1264 	None	[]	[]	Input File Tutorial.
TiO2-001	111	H	0.308	None	[]	[]	Input File Tutorial.
TiO2-001	111	H2	0.736	None	[]	[]	Input File Tutorial.
TiO2-001	111	H2O	0.252	None	[]	[]	Input File Tutorial.
TiO2-001	111	O	-1.313	None	[]	[]	Input File Tutorial.
TiO2-001	111	O-H2	2.2864 	None	[]	[]	Input File Tutorial.
TiO2-001	111	OH	-1.131	None	[]	[]	Input File Tutorial.
TiO2-001	111	OH-H	2.5955 	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H5O	-0.361	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H5O-H	0.836	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H6	1.174	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H6O	0.311	None	[]	[]	Input File Tutorial.
TiO2-101	111	CH3CHOCH-H	0.913	None	[]	[]	Input File Tutorial.
TiO2-101	111	H	1.369	None	[]	[]	Input File Tutorial.
TiO2-101	111	H2	0.728	None	[]	[]	Input File Tutorial.
TiO2-101	111	H2O	0.062	None	[]	[]	Input File Tutorial.
TiO2-101	111	O	-1.607	None	[]	[]	Input File Tutorial.
TiO2-101	111	O-H2	2.2091	None	[]	[]	Input File Tutorial.
TiO2-101	111	OH	-1.212	None	[]	[]	Input File Tutorial.
TiO2-101	111	OH-H	0.7508 	None	[]	[]	Input File Tutorial.
ZrO2-111	111	C3H5O	-0.614	None	[]	[]	Input File Tutorial.
ZrO2-111	111	C3H5O-H	1.5321 	None	[]	[]	Input File Tutorial.
ZrO2-111	111	C3H6	1.45	None	[]	[]	Input File Tutorial.
ZrO2-111	111	C3H6O	0.777	None	[]	[]	Input File Tutorial.
ZrO2-111	111	CH3CHOCH-H	0.7900 	[]	[]	Input File Tutorial.
ZrO2-111	111	H	-0.153	None	[]	[]	Input File Tutorial.
ZrO2-111	111	H2	1.24	None	[]	[]	Input File Tutorial.
ZrO2-111	111	H2O	0.214	None	[]	[]	Input File Tutorial.
ZrO2-111	111	O	-3.547	None	[]	[]	Input File Tutorial.
ZrO2-111	111	O-H2	2.9387 	None	[]	[]	Input File Tutorial.
ZrO2-111	111	OH	-1.577	None	[]	[]	Input File Tutorial.
ZrO2-111	111	OH-H	0.5829 	None	[]	[]	Input File Tutorial.
ZrO2--111	111	C3H5O	-1.147	None	[]	[]	Input File Tutorial.
ZrO2--111	111	C3H5O-H	1.8344 	None	[]	[]	Input File Tutorial.
ZrO2--111	111	C3H6	1.261	None	[]	[]	Input File Tutorial.
ZrO2--111	111	C3H6O	1.219	None	[]	[]	Input File Tutorial.
ZrO2--111	111	CH3CHOCH-H	0.9405 	None	[]	[]	Input File Tutorial.
ZrO2--111	111	H	1.883	None	[]	[]	Input File Tutorial.
ZrO2--111	111	H2	0.951	None	[]	[]	Input File Tutorial.
ZrO2--111	111	H2O	0.416	None	[]	[]	Input File Tutorial.
ZrO2--111	111	O	-3.336	None	[]	[]	Input File Tutorial.
ZrO2--111	111	O-H2	2.7738 	None	[]	[]	Input File Tutorial.
ZrO2--111	111	OH	-2.053	None	[]	[]	Input File Tutorial.
ZrO2--111	111	OH-H	0.9433 	None	[]	[]	Input File Tutorial.
CeO2-331	111	C3H5O	0.859	None	[]	[]	Input File Tutorial.
CeO2-331	111	C3H5O-H	0.1936 	None	[]	[]	Input File Tutorial.
CeO2-331	111	C3H6	1.086	None	[]	[]	Input File Tutorial.
CeO2-331	111	C3H6O	0.501	None	[]	[]	Input File Tutorial.
CeO2-331	111	CH3CHOCH-H	1.4075 	None	[]	[]	Input File Tutorial.
CeO2-331	111	H	-1.145	None	[]	[]	Input File Tutorial.
CeO2-331	111	H2	0.721	None	[]	[]	Input File Tutorial.
CeO2-331	111	H2O	-0.149	None	[]	[]	Input File Tutorial.
CeO2-331	111	O	0.965	None	[]	[]	Input File Tutorial.
