descriptor-H_s	descriptor-CH3CH2CH_s	C3H6_g	C3H8_g	C6H14_g
4.0	-3.0	9.011045234755663e-34	9.011045234763174e-34	0.0
4.0	-2.6363636363636367	1.9598782860604068e-31	1.9598782860605023e-31	0.0
4.0	-2.272727272727273	4.262682420581075e-29	4.262682420581087e-29	0.0
4.0	-1.9090909090909092	9.271217359850985e-27	9.271217359850987e-27	0.0
4.0	-1.5454545454545454	2.0164562280514193e-24	2.0164562280514193e-24	0.0
4.0	-1.1818181818181817	4.385162908630852e-22	4.385162908630852e-22	0.0
4.0	-0.8181818181818183	9.488778731195088e-20	9.488778731195088e-20	0.0
4.0	-0.4545454545454546	1.6632382156836173e-17	1.6632382156836173e-17	0.0
4.0	-0.09090909090909083	1.0233728706766574e-16	1.0233728706766574e-16	0.0
4.0	0.2727272727272727	1.4230980371504486e-17	1.4230980371504486e-17	0.0
4.0	0.6363636363636364	1.3440110036522243e-18	1.3440110036522243e-18	0.0
4.0	1.0	1.253425739139562e-19	1.253425739139562e-19	0.0
3.454545454545454	-3.0	1.9835021083593264e-33	1.983502108362437e-33	0.0
3.454545454545454	-2.6363636363636367	5.760916532965565e-30	5.7609165329656046e-30	0.0
3.454545454545454	-2.272727272727273	1.647852739210412e-26	1.647852739210412e-26	0.0
3.454545454545454	-1.9090909090909092	3.931011898934704e-23	3.931011898934704e-23	0.0
3.454545454545454	-1.5454545454545454	2.201293649036774e-20	2.201293649036774e-20	0.0
3.454545454545454	-1.1818181818181817	4.7871266032416316e-18	4.7871266032416316e-18	0.0
3.454545454545454	-0.8181818181818183	1.0358562574792406e-15	1.0358562574792406e-15	0.0
3.454545454545454	-0.4545454545454546	1.8156548511953348e-13	1.8156548511953348e-13	0.0
3.454545454545454	-0.09090909090909083	9.502693560049558e-13	9.502693560049558e-13	0.0
3.454545454545454	0.2727272727272727	1.553130992117108e-13	1.553130992117108e-13	0.0
3.454545454545454	0.6363636363636364	1.4671723541842894e-14	1.4671723541842894e-14	0.0
3.454545454545454	1.0	1.3683171726276344e-15	1.3683171726276344e-15	0.0
2.9090909090909083	-3.0	8.459727936431998e-34	8.459727936560776e-34	0.0
