surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	C3H6	0.0	None	[]	[]	Input File Tutorial.
None	gas	C3H8	0.0	None	[]	[]	Input File Tutorial.
None	gas	C6H14	-1.051	None	[]	[]	Input File Tutorial.
FeZSM5	111	C3H6	-4.541	None	[]	[]	Input File Tutorial.
FeZSM5	111	C3H8	-2.987	None	[]	[]	Input File Tutorial.
FeZSM5	111	C6H13	-4.08	None	[]	[]	Input File Tutorial.
FeZSM5	111	C6H13-H	-3.25	None	[]	[]	Input File Tutorial.
FeZSM5	111	C6H14	-3.446	None	[]	[]	Input File Tutorial.
FeZSM5	111	CH3CH2CH	-2.368	None	[]	[]	Input File Tutorial.
FeZSM5	111	CH3CH2CH-C3H8	-2.744	None	[]	[]	Input File Tutorial.
FeZSM5	111	CH3CHCH-H	3.42	None	[]	[]	Input File Tutorial.
FeZSM5	111	H	-1.675	None	[]	[]	Input File Tutorial.
CoZSM5	111	C3H6	-2.02	None	[]	[]	Input File Tutorial.
CoZSM5	111	C3H8	-0.666	None	[]	[]	Input File Tutorial.
CoZSM5	111	C6H13	-3.304	None	[]	[]	Input File Tutorial.
CoZSM5	111	C6H13-H	-2.351	None	[]	[]	Input File Tutorial.
CoZSM5	111	C6H14	-2.529	None	[]	[]	Input File Tutorial.
CoZSM5	111	CH3CH2CH	-1.204	None	[]	[]	Input File Tutorial.
CoZSM5	111	CH3CH2CH-C3H8	-0.392	None	[]	[]	Input File Tutorial.
CoZSM5	111	CH3CHCH-H	0.486	None	[]	[]	Input File Tutorial.
CoZSM5	111	H	1.13	None	[]	[]	Input File Tutorial.
NiZSM5	111	C3H6	-2.771	None	[]	[]	Input File Tutorial.
NiZSM5	111	C3H8	-1.521	None	[]	[]	Input File Tutorial.
NiZSM5	111	C6H13	-3.738	None	[]	[]	Input File Tutorial.
NiZSM5	111	C6H13-H	-2.297	None	[]	[]	Input File Tutorial.
NiZSM5	111	C6H14	-2.777	None	[]	[]	Input File Tutorial.
NiZSM5	111	CH3CH2CH	-1.26	None	[]	[]	Input File Tutorial.
NiZSM5	111	CH3CH2CH-C3H8	3.916	None	[]	[]	Input File Tutorial.
NiZSM5	111	CH3CHCH-H	2.915	None	[]	[]	Input File Tutorial.
NiZSM5	111	H	0.641	None	[]	[]	Input File Tutorial.
CuZSM5	111	C3H6	-2.583	None	[]	[]	Input File Tutorial.
CuZSM5	111	C3H8	-1.545	None	[]	[]	Input File Tutorial.
CuZSM5	111	C6H13	-2.648	None	[]	[]	Input File Tutorial.
CuZSM5	111	C6H13-H	-1.381	None	[]	[]	Input File Tutorial.
CuZSM5	111	C6H14	-2.608	None	[]	[]	Input File Tutorial.
CuZSM5	111	CH3CH2CH	-0.825	None	[]	[]	Input File Tutorial.
CuZSM5	111	CH3CH2CH-C3H8	-1.088	None	[]	[]	Input File Tutorial.
CuZSM5	111	CH3CHCH-H	-0.423	None	[]	[]	Input File Tutorial.
CuZSM5	111	H	1.267	None	[]	[]	Input File Tutorial.
ZnZSM5	111	C3H6	-1.273	None	[]	[]	Input File Tutorial.
ZnZSM5	111	C3H8	-0.808	None	[]	[]	Input File Tutorial.
ZnZSM5	111	C6H13	-3.646	None	[]	[]	Input File Tutorial.
ZnZSM5	111	C6H13-H	-0.008	None	[]	[]	Input File Tutorial.
ZnZSM5	111	C6H14	-2.193	None	[]	[]	Input File Tutorial.
ZnZSM5	111	CH3CH2CH	-0.683	None	[]	[]	Input File Tutorial.
ZnZSM5	111	CH3CH2CH-C3H8	3.627	None	[]	[]	Input File Tutorial.
ZnZSM5	111	CH3CHCH-H	0.846	None	[]	[]	Input File Tutorial.
ZnZSM5	111	H	-0.396	None	[]	[]	Input File Tutorial.
