surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	C5H8O	-1.677	None	[]	[]	Input File Tutorial.
None	gas	C5H9OH	0.0	None	[]	[]	Input File Tutorial.
None	gas	H2O	0.0	None	[]	[]	Input File Tutorial.
None	gas	O2	0.0	None	[]	[]	Input File Tutorial.
Ag	111	C5H8O	-3.107	None	[]	[]	Input File Tutorial.
Ag	111	C5H8O-H	-0.864	None	[]	[]	Input File Tutorial.
Ag	111	C5H9O	-1.742	None	[]	[]	Input File Tutorial.
Ag	111	C5H9OH	-1.666	None	[]	[]	Input File Tutorial.
Ag	111	C5H9OH-OH	-2.431	None	[]	[]	Input File Tutorial.
Ag	111	H	1.806	None	[]	[]	Input File Tutorial.
Ag	111	O	-0.55	None	[]	[]	Input File Tutorial.
Ag	111	H2O	-0.514	None	[]	[]	Input File Tutorial.
Ag	111	O2	-0.358	None	[]	[]	Input File Tutorial.
Ag	111	OH	-0.818	None	[]	[]	Input File Tutorial.
Au	111	C5H8O	-3.041	None	[]	[]	Input File Tutorial.
Au	111	C5H8O-H	-0.425	None	[]	[]	Input File Tutorial.
Au	111	C5H9O	-1.252	None	[]	[]	Input File Tutorial.
Au	111	C5H9OH	-1.579	None	[]	[]	Input File Tutorial.
Au	111	C5H9OH-OH	-1.56	None	[]	[]	Input File Tutorial.
Au	111	H	1.595	None	[]	[]	Input File Tutorial.
Au	111	O	0.187	None	[]	[]	Input File Tutorial.
Au	111	H2O	-0.481	None	[]	[]	Input File Tutorial.
Au	111	O2	0.212	None	[]	[]	Input File Tutorial.
Au	111	OH	0.025	None	[]	[]	Input File Tutorial.
Cu	111	C5H8O	-3.283	None	[]	[]	Input File Tutorial.
Cu	111	C5H8O-H	0.731	None	[]	[]	Input File Tutorial.
Cu	111	C5H9O	-2.687	None	[]	[]	Input File Tutorial.
Cu	111	C5H9OH	-1.958	None	[]	[]	Input File Tutorial.
Cu	111	C5H9OH-OH	-3.176	None	[]	[]	Input File Tutorial.
Cu	111	H	1.561	None	[]	[]	Input File Tutorial.
Cu	111	O	-1.604	None	[]	[]	Input File Tutorial.
Cu	111	H2O	-0.604	None	[]	[]	Input File Tutorial.
Cu	111	O2	-1.151	None	[]	[]	Input File Tutorial.
Cu	111	OH	-1.416	None	[]	[]	Input File Tutorial.
Ir	111	C5H8O	-4.075	None	[]	[]	Input File Tutorial.
Ir	111	C5H8O-H	-2.874	None	[]	[]	Input File Tutorial.
Ir	111	C5H9O	-3.231	None	[]	[]	Input File Tutorial.
Ir	111	C5H9OH	-2.824	None	[]	[]	Input File Tutorial.
Ir	111	C5H9OH-OH	-0.876	None	[]	[]	Input File Tutorial.
Ir	111	H	0.706	None	[]	[]	Input File Tutorial.
Ir	111	O	-1.492	None	[]	[]	Input File Tutorial.
Ir	111	H2O	-0.793	None	[]	[]	Input File Tutorial.
Ir	111	O2	-1.371	None	[]	[]	Input File Tutorial.
Ir	111	OH	-0.869	None	[]	[]	Input File Tutorial.
Pd	111	C5H8O	-3.711	None	[]	[]	Input File Tutorial.
Pd	111	C5H8O-H	-1.78	None	[]	[]	Input File Tutorial.
Pd	111	C5H9O	-2.214	None	[]	[]	Input File Tutorial.
Pd	111	C5H9OH	-1.876	None	[]	[]	Input File Tutorial.
Pd	111	C5H9OH-OH	1.042	None	[]	[]	Input File Tutorial.
Pd	111	H	1.127	None	[]	[]	Input File Tutorial.
Pd	111	O	-1.111	None	[]	[]	Input File Tutorial.
