surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	H2	0.0	None	[]	[]	Input File Tutorial.
None	gas	H2O	0.0	None	[]	[]	Input File Tutorial.
None	gas	C3H6	0.0	None	[]	[]	Input File Tutorial.
None	gas	C3H6O	0.042	None	[]	[]	Input File Tutorial.
TiO2-101    101	C3H5O   -2.161	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H5O-H	-1.791	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H6	-1.652	None	[]	[]	Input File Tutorial.
TiO2-101	111	C3H6O	-2.239	None	[]	[]	Input File Tutorial.
TiO2-101	111	CH3CHOCH-H	-1.607	None	[]	[]	Input File Tutorial.
TiO2-101	111	H	-2.319	None	[]	[]	Input File Tutorial.
TiO2-101	111	H2	-3.319	None	[]	[]	Input File Tutorial.
TiO2-101	111	H2O	-2.34	None	[]	[]	Input File Tutorial.
TiO2-101	111	O	-2.866	None	[]	[]	Input File Tutorial.
TiO2-101	111	O-H2	-0.712	None	[]	[]	Input File Tutorial.
TiO2-101	111	OH	-2.34	None	[]	[]	Input File Tutorial.
TiO2-101	111	OH-H	-2.322	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H5O	-2.645	None	[]	[]	Input File Tutorial.
MoO3-010	111	C3H5O	0.141	None	[]	[]	Input File Tutorial.
MoO3-010	111	C3H5O-H	0.269	None	[]	[]	Input File Tutorial.
MoO3-010	111	C3H6	-0.767	None	[]	[]	Input File Tutorial.
MoO3-010	111	C3H6O	-0.98	None	[]	[]	Input File Tutorial.
MoO3-010	111	CH3CHOCH-H	0.23	None	[]	[]	Input File Tutorial.
MoO3-010	111	H	-1	None	[]	[]	Input File Tutorial.
MoO3-010	111	H2	-0.693	None	[]	[]	Input File Tutorial.
MoO3-010	111	H2O	-0.95	None	[]	[]	Input File Tutorial.
MoO3-010	111	O	-0.678	None	[]	[]	Input File Tutorial.
MoO3-010	111	O-H2	1.572	None	[]	[]	Input File Tutorial.
MoO3-010	111	OH	-0.398	None	[]	[]	Input File Tutorial.
MoO3-010	111	OH-H	1.578	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H5O	-0.913	None	[]	[]	Input File Tutorial
MoO3-100	111	C3H5O-H	0.032	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H6	2.382	None	[]	[]	Input File Tutorial.
MoO3-100	111	C3H6O	-0.602	None	[]	[]	Input File Tutorial.
MoO3-100	111	CH3CHOCH-H	0.644	None	[]	[]	Input File Tutorial.
MoO3-100	111	H	-1	None	[]	[]	Input File Tutorial.
MoO3-100	111	H2	2.319	None	[]	[]	Input File Tutorial.
MoO3-100	111	H2O	-0.875	None	[]	[]	Input File Tutorial.
MoO3-100	111	O	-0.382	None	[]	[]	Input File Tutorial
MoO3-100	111	O-H2	3.073	None	[]	[]	Input File Tutorial.
MoO3-100	111	OH	-0.909	None	[]	[]	Input File Tutorial.
MoO3-100	111	OH-H	-0.756	None	[]	[]	Input File Tutorial.
Al2O3-100	111	C3H5O	-2.372	None	[]	[]	Input File Tutorial.
Al2O3-100	111	C3H5O-H	-0.822	None	[]	[]	Input File Tutorial.
Al2O3-100	111	C3H6	-1.868	None	[]	[]	Input File Tutorial.
Al2O3-100	111	C3H6O	-1.72	None	[]	[]	Input File Tutorial.
Al2O3-100	111	CH3CHOCH-H	0.586	None	[]	[]	Input File Tutorial.
Al2O3-100	111	H	-1	None	[]	[]	Input File Tutorial.
Al2O3-100	111	H2	-4.673	None	[]	[]	Input File Tutorial.
Al2O3-100	111	H2O	-3.654	None	[]	[]	Input File Tutorial.
Al2O3-100	111	O	-4.673	None	[]	[]	Input File Tutorial.
Al2O3-100	111	O-H2	-1.297	None	[]	[]	Input File Tutorial.
Al2O3-100	111	OH	-5.155	None	[]	[]	Input File Tutorial.
Al2O3-100	111	OH-H	-1.844	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H5O-H	-2.645	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H6	-2.631	None	[]	[]	Input File Tutorial.
TiO2-001	111	C3H6O	-1.87	None	[]	[]	Input File Tutorial.
TiO2-001	111	CH3CHOCH-H	-2.724	None	[]	[]	Input File Tutorial.
TiO2-001	111	H	-1	None	[]	[]	Input File Tutorial.
TiO2-001	111	H2	-2.604	None	[]	[]	Input File Tutorial.
TiO2-001	111	H2O	-2.024	None	[]	[]	Input File Tutorial.
TiO2-001	111	O	-2.572	None	[]	[]	Input File Tutorial.
TiO2-001	111	O-H2	-0.516	None	[]	[]	Input File Tutorial.
TiO2-001	111	OH	-3.039	None	[]	[]	Input File Tutorial.
TiO2-001	111	OH-H	-2.024	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H5O	-3.098	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H5O-H	-1.918	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H6	-1.399	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H6O	-2.163	None	[]	[]	Input File Tutorial.
CeO2-111	111	CH3CHOCH-H	-1.395	None	[]	[]	Input File Tutorial.
CeO2-111	111	H	-1	None	[]	[]	Input File Tutorial.
CeO2-111	111	H2	-0.562	None	[]	[]	Input File Tutorial.
CeO2-111	111	H2O	-1.837	None	[]	[]	Input File Tutorial.
CeO2-111	111	O	-0.541	None	[]	[]	Input File Tutorial.
CeO2-111	111	O-H2	0.479	None	[]	[]	Input File Tutorial.
CeO2-111	111	OH	-3.639	None	[]	[]	Input File Tutorial.
CeO2-111	111	OH-H	0.146	None	[]	[]	Input File Tutorial.



